,PCECTPI,OILPRICEx,FEDFUNDS ,GS10,GS10TB3Mx,AAAFFM,M2REAL,TOTALSLx ,UMCSENTx ,CUMFNS ,GDPC1,PCECC96 ,INDPRO,UNRATE ,PAYEMS ,HOUST
12/1/1990,5.257621015,70.58906481,7.7433,8.3967,1.41,1.55,-3.762896636,-1.951404661,65.1,79.8699,-3.658296259,-3.054633511,-6.193633204,6.1333,-1.433813242,-32.88176552
3/1/1991,2.096921679,-155.5459942,6.4267,8.0167,1.99,2.5067,1.907625894,-5.605257736,75,77.7818,-1.876155659,-1.506973498,-7.581785057,6.6,-1.7195439,-61.23423931
6/1/1991,2.177000273,-22.47805288,5.8633,8.13,2.57,3.0467,2.16905024,-3.124704368,80.7,77.9094,3.106660758,3.301360764,2.283763359,6.8333,-1.75404937,48.89758894
9/1/1991,2.707921914,13.42085432,5.6433,7.94,2.56,3.1433,-1.489966854,-6.020712963,82.6,79.0829,2.016344141,1.989371383,5.691783293,6.8667,-0.011079361,12.20872712
12/1/1991,2.894880678,-1.571035009,4.8167,7.3467,2.81,3.63,-2.040751368,-5.140307722,71.9,79.0696,1.391755339,-0.20018976,0.820544891,7.1,0.082472201,16.78394012
3/1/1992,2.498430634,-58.81828703,4.0233,7.3033,3.41,4.2567,0.735870486,-2.524868646,70.8,78.7047,4.760567369,7.420119985,-0.484634611,7.3667,0.066457858,52.99835923
6/1/1992,2.647481631,42.62549793,3.77,7.3767,3.7,4.5067,-2.803539151,-3.726541009,78.9,79.7212,4.313867437,2.706153015,7.182576182,7.6,1.015185546,-29.53575148
9/1/1992,2.542054019,6.692028564,3.2567,6.6167,3.53,4.7233,-2.602456206,-1.446403794,76.1,79.9156,3.933041199,4.264853688,3.135938131,7.6333,0.967310836,10.61554638
12/1/1992,2.78209684,-25.5065786,3.0367,6.7433,3.67,4.9867,-0.6740109,-1.210197468,83.2,79.9124,4.149821489,4.739326568,4.053263836,7.3667,1.54358004,14.81648655
3/1/1993,2.378217122,-15.77762103,3.04,6.28,3.32,4.6933,-4.056880684,1.985306289,87.3,80.3378,0.667218105,1.530660042,3.641791999,7.1333,2.333970636,-20.2602903
6/1/1993,2.678740244,-4.305271312,3,5.99,3.02,4.4067,-1.113104022,1.267221176,82.5,80.1828,2.321931509,3.621945244,0.797959118,7.0667,2.141950013,32.34193585
9/1/1993,1.728847795,-44.10996149,3.06,5.6167,2.61,3.8333,0.061614288,4.375035001,77.4,79.9282,1.90408019,4.427102614,1.518133395,6.8,2.51309955,10.29296559
12/1/1993,2.30170661,-33.44691474,2.99,5.6067,2.55,3.8533,-0.930735895,8.263578757,84,80.8516,5.403929208,3.49599558,6.199909007,6.6333,2.798671812,39.45622028
3/1/1994,1.431869736,-43.7963629,3.2133,6.0667,2.82,3.9467,-0.871031028,9.529577545,93,81.2186,3.862740813,4.549129847,4.896548308,6.5667,3.061641867,-12.08495018
6/1/1994,2.225951354,70.20749082,3.94,7.0833,3.1,4.0067,-1.470993944,11.34561444,92.2,82.3527,5.38432863,3.100180192,7.238632761,6.2,3.670926469,21.18774482
9/1/1994,2.856724512,13.71948812,4.4867,7.3333,2.86,3.6867,-3.36239446,11.4523572,90.7,82.7381,2.33152996,3.038390072,5.069578492,6,3.505298175,-3.377876972
12/1/1994,1.875279596,-20.63689094,5.1667,7.8367,2.56,3.4033,-2.404393416,13.73646545,93.1,83.8445,4.556232747,4.301328038,8.023241701,5.6333,3.166475418,4.829775101
3/1/1995,1.949812681,13.45119316,5.81,7.4833,1.75,2.47,-2.338269787,13.2699267,94.3,83.8385,1.416610584,0.994343466,4.148355066,5.4667,2.991964753,-42.38582512
